Field,File,Line,Method,Receiver,Operation,Context,Evidence
"DisplayId","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","148","CommitExpandedPreferred","note","READ","Pet canonical / UI projection (inspect receiver)","note.DisplayId ?? String.Empty)"
"PreferredDisplayTargetKey","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","151","CommitExpandedPreferred","note","READ","Pet canonical / UI projection (inspect receiver)","surface, note.PreferredDisplayTargetKey);"
"LocalLogicalX","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","153","CommitExpandedPreferred","note","READ","Pet canonical / UI projection (inspect receiver)","note.LocalLogicalX, note.LocalLogicalY,"
"LocalLogicalY","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","153","CommitExpandedPreferred","note","READ","Pet canonical / UI projection (inspect receiver)","note.LocalLogicalX, note.LocalLogicalY,"
"LocalLogicalWidth","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","154","CommitExpandedPreferred","note","READ","Pet canonical / UI projection (inspect receiver)","note.LocalLogicalWidth, note.LocalLogicalHeight,"
"LocalLogicalHeight","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","154","CommitExpandedPreferred","note","READ","Pet canonical / UI projection (inspect receiver)","note.LocalLogicalWidth, note.LocalLogicalHeight,"
"X","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","370","ApplyLegacySpawnFallback","note","WRITE","Pet canonical / UI projection (inspect receiver)","note.X = centered.Left;"
"Y","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","371","ApplyLegacySpawnFallback","note","WRITE","Pet canonical / UI projection (inspect receiver)","note.Y = centered.Top;"
"Width","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","372","ApplyLegacySpawnFallback","note","WRITE","Pet canonical / UI projection (inspect receiver)","note.Width = centered.Width;"
"Height","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","373","ApplyLegacySpawnFallback","note","WRITE","Pet canonical / UI projection (inspect receiver)","note.Height = centered.Height;"
"LocalLogicalX","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","393","TraceSpawnPlacement","note","READ","Pet canonical / UI projection (inspect receiver)",""" logical=("" + note.LocalLogicalX + "","" +"
"LocalLogicalY","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","394","TraceSpawnPlacement","note","READ","Pet canonical / UI projection (inspect receiver)","note.LocalLogicalY + "","" + note.LocalLogicalWidth + "","" +"
"LocalLogicalWidth","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","394","TraceSpawnPlacement","note","READ","Pet canonical / UI projection (inspect receiver)","note.LocalLogicalY + "","" + note.LocalLogicalWidth + "","" +"
"LocalLogicalHeight","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","395","TraceSpawnPlacement","note","READ","Pet canonical / UI projection (inspect receiver)","note.LocalLogicalHeight + "")"" +"
"X","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","396","TraceSpawnPlacement","note","READ","Pet canonical / UI projection (inspect receiver)",""" physical=("" + note.X + "","" + note.Y + "","" +"
"Y","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","396","TraceSpawnPlacement","note","READ","Pet canonical / UI projection (inspect receiver)",""" physical=("" + note.X + "","" + note.Y + "","" +"
"Width","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","397","TraceSpawnPlacement","note","READ","Pet canonical / UI projection (inspect receiver)","note.Width + "","" + note.Height + "")"" +"
"Height","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs","397","TraceSpawnPlacement","note","READ","Pet canonical / UI projection (inspect receiver)","note.Width + "","" + note.Height + "")"" +"
