Type,Direction,CreatedOnThread,ConsumedOnThread,MutableAfterSend,ContainsContent,ContainsGeometry,ContainsTopology,ContainsSequence,ContainsEpoch,ContainsPlanSequence
"StickyUiCommand","Pet -> Sticky","Pet STA","Sticky STA","private-set scalars; copied but exposed DockNoteIds/Reminders arrays","optional snapshot/reminders","bounds/snapshot/reproject/groupplan","optional snapshot","no","capture/raise epoch","nested group plan"
"StickyUiCommandKind","Pet -> Sticky","Pet STA","Sticky STA","enum value","no","kind only","no","no","no","no"
"StickyUiEvent","Sticky -> Pet","Sticky STA","Pet STA via context","private-set; nested snapshot arrays / reminder copy not deep read-only","optional snapshot/reminder","snapshot/facts/resize fields","capture snapshot","Sequence","no","no"
"StickyUiEventKind","Sticky -> Pet","Sticky STA","Pet STA","enum value","no","kind only","no","no","no","no"
"StickyUiCommandResult","Sticky -> Pet","Sticky STA; scheduler may construct failure on caller/worker","Pet completion context","private-set; FinalSnapshots array exposed","optional snapshot/final batch","optional facts/snapshot/batch","optional snapshot/batch generation","single Sequence or per member","nested batch","nested batch"
"StickyUiCommandStatus","reply","handler / scheduling boundary","Pet STA","enum value","no","no","no","no","no","no"
"StickyNoteUiSnapshot","both directions","Pet FromData / Sticky CaptureSnapshot","Sticky working copy / Pet canonical apply","scalar private-set; TodoItems/ScheduleItems arrays exposed","yes","all 14 persisted geometry fields","no capture topology","no","no","no"
"StickyTodoUiSnapshot","inside snapshot","origin snapshot thread","other STA","private-set values","yes","no","no","no","no","no"
"StickyScheduleUiSnapshot","inside snapshot","origin snapshot thread","other STA","private-set values","yes","no","no","no","no","no"
"StickyUiBounds","Pet -> Sticky","Pet STA","Sticky STA","private-set values","no","physical rect","no","no","no","no"
"StickyUiDockResizeRole","Pet -> Sticky","Pet STA","Sticky STA","private-set values","no","role + min/max heights","no","no","no","no"
"StickyUiReprojectTarget","Pet -> Sticky","Pet STA","Sticky STA","private-set values","no","logical rect/show/center intent","target GDI name not generation","no","no","no"
"StickyUiFinalSnapshot","Sticky -> Pet","Sticky STA final flush","Pet STA CloseAll completion","private-set wrapper; nested snapshot arrays","yes","snapshot geometry, no WindowFacts","no","per note Sequence","no","no"
"DockBatchMemberResult","Sticky -> Pet","Sticky STA CaptureDockMember","Pet STA batch acceptance","private-set wrapper, snapshot caveat","snapshot","actual WindowFacts + snapshot","facts generation","WindowSequence","no","no"
"DockBatchResult","Sticky -> Pet","Sticky STA","Pet STA","cloned array exposed as IReadOnlyList","nested snapshots","nested actual facts","generation + target surface/DPI","per member","InteractionEpoch","PlanSequence"
"WindowFacts","native capture -> consumer","Sticky STA for notes; Pet STA for Pet","Pet / Sticky local plans","detached get-only/private-set values","no","physical rect/actual DPI/scale","capture generation/surface IDs","WindowSequence","no","no"
"DisplayTopologySnapshot","Pet -> Sticky plus capture evidence back","Pet display owner","Pet / Sticky STA","immutable published snapshot/read-only surfaces","no","surface bounds/work areas/scales","Generation","no","no","no"
"DockPlacementPlan","Pet -> Sticky mailbox","Pet STA planner","Sticky STA","detached plan/read-only members","no","target physical geometry","TopologyGeneration","no","InteractionEpoch","PlanSequence"
"DockGroupReprojectPlan","Pet -> Sticky command","Pet STA","Sticky STA","detached logical group plan","no","logical root/member sizes","generation + target surface","no","no","PlanSequence"
"DockWindowFacts","Pet local","Pet projection from actual/model/target","Pet Dock pipeline","private-set values","no","physical relation/input geometry","no","no","no","no"
"DockLayoutTarget","Pet local -> effect","Pet pure layout","Pet effect -> typed hosted bounds","private-set values","no","desired physical rect/visible/topmost","no","no","no","no"
"DockPlanMailbox","shared Pet/Sticky scheduling bridge","Pet field lifetime","both STAs under Gate","YES intentionally mutable under Gate; not ordinary immutable carrier","no","Current plan","nested current plan","next counter","nested current plan","next/current/final"
